loss,accuracy,val_loss,val_accuracy,lr
0.8052597045898438,0.6000000238418579,0.686007559299469,0.5799999833106995,0.001
0.65826815366745,0.5400000214576721,0.6738470196723938,0.5199999809265137,0.001
0.6406329870223999,0.5600000023841858,0.6585449576377869,0.5933333039283752,0.001
0.596744179725647,0.7200000286102295,0.6786083579063416,0.4933333396911621,0.001
0.6056386828422546,0.6600000262260437,0.6974433064460754,0.4933333396911621,0.001
0.6159474849700928,0.7400000095367432,0.7495890855789185,0.4933333396911621,0.001
0.5733497142791748,0.7400000095367432,0.7880892157554626,0.4933333396911621,0.001
0.5721279382705688,0.7200000286102295,0.7454651594161987,0.47333332896232605,0.001
0.5576777458190918,0.6800000071525574,0.7600350379943848,0.4933333396911621,0.001
0.5040714144706726,0.8600000143051147,0.7723670601844788,0.4933333396911621,0.001
0.5300164222717285,0.7400000095367432,0.7506747841835022,0.4933333396911621,0.001
0.5342096090316772,0.800000011920929,0.7414418458938599,0.4933333396911621,0.001
0.4826875329017639,0.8399999737739563,0.7389318943023682,0.4866666793823242,0.001
0.5222379565238953,0.7799999713897705,0.7358868718147278,0.47333332896232605,0.001
0.4641491174697876,0.8799999952316284,0.7256918549537659,0.46666666865348816,0.001
0.48041820526123047,0.7200000286102295,0.7712958455085754,0.4933333396911621,0.001
0.4676545262336731,0.8600000143051147,0.750516951084137,0.4933333396911621,0.001
0.4047059714794159,0.800000011920929,0.7619975209236145,0.4933333396911621,0.001
0.48466309905052185,0.7599999904632568,0.7933096289634705,0.4933333396911621,0.001
0.53069007396698,0.6600000262260437,0.7251375317573547,0.47999998927116394,0.001
0.4111779034137726,0.8399999737739563,0.7228894829750061,0.5266666412353516,0.001
0.429302453994751,0.8399999737739563,0.7215421795845032,0.4933333396911621,0.001
0.35638371109962463,0.9200000166893005,0.7389304041862488,0.47999998927116394,0.001
0.35989829897880554,0.8600000143051147,0.7569696307182312,0.5266666412353516,0.001
0.38126784563064575,0.8999999761581421,0.7986582517623901,0.6466666460037231,0.001
