,linear_output,tanh_output,conv1d_output,build_deep_nn,build_encoder
min_mse_0,1.538883090019226,0.9769598245620728,0.024601303040981293,0.003629768267273903,0.0019265732262283564
min_epo_0,41.0,3.0,49.0,40.0,40.0
min_mse_1,2.435415267944336,0.9937438368797302,0.038262780755758286,0.00718121649697423,0.003648684825748205
min_epo_1,25.0,1.0,49.0,48.0,48.0
min_mse_2,3.8073296546936035,0.9800128936767578,0.020967703312635422,0.004360958468168974,0.003406859701499343
min_epo_2,49.0,0.0,49.0,44.0,39.0
