,linear_output,tanh_output,conv1d_output,build_deep_nn,build_encoder
min_mse_0,8.048748016357422,1.0014172792434692,0.010844206437468529,0.0008838566718623042,0.0015330070164054632
min_epo_0,13.0,4.0,47.0,47.0,48.0
min_mse_1,3.2567191123962402,0.999038577079773,0.010361295193433762,0.0006312570185400546,0.0019124499522149563
min_epo_1,10.0,0.0,49.0,41.0,49.0
min_mse_2,10.947296142578125,1.000542402267456,0.01179504580795765,0.000452916428912431,0.0016348471399396658
min_epo_2,17.0,0.0,49.0,44.0,47.0
