,linear_output,tanh_output,conv1d_output,build_deep_nn,build_encoder
min_mse_0,1.9554585218429565,0.9909171462059021,0.03255157545208931,0.007714599836617708,0.004861658904701471
min_epo_0,45.0,3.0,46.0,43.0,43.0
min_mse_1,3.9971609115600586,0.984180748462677,0.0518408827483654,0.007546810898929834,0.004788445308804512
min_epo_1,41.0,0.0,49.0,34.0,49.0
min_mse_2,2.8015503883361816,0.9968702793121338,0.022143222391605377,0.008460147306323051,0.006344227120280266
min_epo_2,46.0,0.0,49.0,48.0,40.0
