,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.4,1.0,0.813953488372093,0.7076923076923077,1.0,0.7,0.7843291592128802,0.7668336314847943
recall,0.8571428571428571,0.42857142857142855,0.7446808510638298,0.7540983606557377,0.42857142857142855,0.7,0.6426129852010563,0.7
f1-score,0.5454545454545455,0.6,0.7777777777777778,0.7301587301587301,0.6,0.7,0.6506782106782107,0.7035440115440116
support,14.0,14.0,47.0,61.0,14.0,0.7,150.0,150.0
