loss,task_1_output_loss,task_2_output_loss,task_1_output_accuracy,task_2_output_accuracy,val_loss,val_task_1_output_loss,val_task_2_output_loss,val_task_1_output_accuracy,val_task_2_output_accuracy,lr
0.6557772755622864,0.6896594166755676,0.6218950152397156,0.5600000023841858,0.25999999046325684,0.6735470294952393,0.6955969333648682,0.6514973044395447,0.5066666603088379,0.31333333253860474,0.001
0.5527895092964172,0.6189774870872498,0.4866015613079071,0.6600000262260437,0.5400000214576721,0.6378477215766907,0.6870124936103821,0.5886828899383545,0.5333333611488342,0.5600000023841858,0.001
0.4990636110305786,0.5754400491714478,0.4226871132850647,0.6399999856948853,0.5400000214576721,0.6103569269180298,0.6703656315803528,0.5503481030464172,0.6066666841506958,0.4866666793823242,0.001
0.48328712582588196,0.5564112663269043,0.4101630747318268,0.7200000286102295,0.5199999809265137,0.6004067659378052,0.6684356927871704,0.5323779582977295,0.6000000238418579,0.47333332896232605,0.001
0.47257542610168457,0.5562275052070618,0.3889232873916626,0.7799999713897705,0.6600000262260437,0.6067293882369995,0.6837253570556641,0.5297333002090454,0.5400000214576721,0.4866666793823242,0.001
0.42835602164268494,0.4825654625892639,0.37414658069610596,0.800000011920929,0.6800000071525574,0.6145910620689392,0.6865699291229248,0.5426123738288879,0.54666668176651,0.4466666579246521,0.001
0.43524888157844543,0.504060685634613,0.36643704771995544,0.800000011920929,0.6399999856948853,0.6211189031600952,0.6899041533470154,0.5523337125778198,0.5199999809265137,0.09333333373069763,0.001
0.45029786229133606,0.5404682755470276,0.36012741923332214,0.699999988079071,0.7200000286102295,0.6173806190490723,0.6941609382629395,0.5406003594398499,0.5133333206176758,0.09333333373069763,0.001
0.452540785074234,0.546950101852417,0.3581314980983734,0.699999988079071,0.6200000047683716,0.6153825521469116,0.6955347657203674,0.535230278968811,0.5933333039283752,0.09333333373069763,0.001
0.43522244691848755,0.5153311491012573,0.35511359572410583,0.7799999713897705,0.6600000262260437,0.614605724811554,0.6962581872940063,0.5329534411430359,0.5933333039283752,0.09333333373069763,0.001
0.43859806656837463,0.5055015087127686,0.3716945946216583,0.8199999928474426,0.5799999833106995,0.6277145147323608,0.7096924781799316,0.54573655128479,0.6399999856948853,0.09333333373069763,0.001
0.4096319079399109,0.47170382738113403,0.3475600481033325,0.8399999737739563,0.6600000262260437,0.638394832611084,0.7114596366882324,0.5653300881385803,0.5066666603088379,0.09333333373069763,0.001
0.40493735671043396,0.4632332921028137,0.3466413915157318,0.8199999928474426,0.699999988079071,0.6598138213157654,0.7480490803718567,0.5715784430503845,0.5066666603088379,0.09333333373069763,0.001
0.40663307905197144,0.46902453899383545,0.34424158930778503,0.7799999713897705,0.6600000262260437,0.6958897113800049,0.8037814497947693,0.5879980325698853,0.5066666603088379,0.09333333373069763,0.001
0.38760992884635925,0.42403995990753174,0.35117995738983154,0.8399999737739563,0.6600000262260437,0.695827305316925,0.7960271239280701,0.5956274271011353,0.5066666603088379,0.09333333373069763,0.001
0.4048031270503998,0.45650672912597656,0.3530994653701782,0.7400000095367432,0.6000000238418579,0.7203779816627502,0.828822135925293,0.611933708190918,0.5066666603088379,0.09333333373069763,0.001
0.41726192831993103,0.4729791581630707,0.3615446388721466,0.7400000095367432,0.699999988079071,0.7095924615859985,0.8270881175994873,0.5920966267585754,0.5066666603088379,0.09333333373069763,0.001
0.3979172110557556,0.44141727685928345,0.35441720485687256,0.8799999952316284,0.6600000262260437,0.6936254501342773,0.7923001646995544,0.5949507355690002,0.5066666603088379,0.09333333373069763,0.001
0.35677966475486755,0.38253799080848694,0.33102139830589294,0.8999999761581421,0.699999988079071,0.7128063440322876,0.8335115313529968,0.5921011567115784,0.5066666603088379,0.09333333373069763,0.001
0.37622547149658203,0.417797327041626,0.33465370535850525,0.8199999928474426,0.6800000071525574,0.7432703971862793,0.8649452924728394,0.6215957403182983,0.5066666603088379,0.09333333373069763,0.001
0.3614911735057831,0.3881809115409851,0.3348013758659363,0.8799999952316284,0.7200000286102295,0.7682956457138062,0.9060899019241333,0.6305011510848999,0.5066666603088379,0.09333333373069763,0.001
0.34156307578086853,0.3433894217014313,0.3397367596626282,0.8799999952316284,0.6800000071525574,0.8527889251708984,1.0555007457733154,0.6500771641731262,0.5066666603088379,0.09333333373069763,0.001
0.3186587691307068,0.30648642778396606,0.3308311104774475,0.8399999737739563,0.699999988079071,0.905794084072113,1.1438872814178467,0.6677010655403137,0.5066666603088379,0.09333333373069763,0.001
0.31619301438331604,0.3029802441596985,0.329405814409256,0.8799999952316284,0.699999988079071,0.9939362406730652,1.328427791595459,0.6594445705413818,0.5066666603088379,0.09333333373069763,0.001
0.3942836821079254,0.45908868312835693,0.3294786512851715,0.7799999713897705,0.7200000286102295,0.9301891922950745,1.1966310739517212,0.6637471914291382,0.5066666603088379,0.09333333373069763,0.001
0.3543841540813446,0.37040966749191284,0.338358610868454,0.8199999928474426,0.6399999856948853,0.7862032055854797,0.9060303568840027,0.666375994682312,0.5066666603088379,0.09333333373069763,0.001
0.3356872797012329,0.35251182317733765,0.31886276602745056,0.8799999952316284,0.6600000262260437,0.7709829807281494,0.8539510369300842,0.6880149841308594,0.5066666603088379,0.09333333373069763,0.001
0.40858927369117737,0.4926045536994934,0.3245740532875061,0.8199999928474426,0.6800000071525574,0.7837252020835876,0.8727614283561707,0.6946887969970703,0.5066666603088379,0.09333333373069763,0.001
0.3486461639404297,0.38101181387901306,0.31628045439720154,0.8399999737739563,0.7200000286102295,0.8338882923126221,0.973041296005249,0.6947354078292847,0.5066666603088379,0.09333333373069763,0.001
0.3641561269760132,0.4104277491569519,0.3178844749927521,0.8799999952316284,0.7200000286102295,0.8564528226852417,1.0691840648651123,0.6437215805053711,0.5066666603088379,0.09333333373069763,0.001
0.3601577877998352,0.4014001190662384,0.318915456533432,0.8600000143051147,0.7200000286102295,0.8539548516273499,1.0541025400161743,0.6538072228431702,0.5066666603088379,0.09333333373069763,0.001
