loss,task_1_output_loss,task_2_output_loss,task_1_output_accuracy,task_2_output_accuracy,val_loss,val_task_1_output_loss,val_task_2_output_loss,val_task_1_output_accuracy,val_task_2_output_accuracy,lr
0.6688122749328613,0.7070708274841309,0.6305536031723022,0.5357142686843872,0.2857142984867096,0.6952406764030457,0.7323613166809082,0.6581201553344727,0.4464285671710968,0.2678571343421936,0.001
0.5150271654129028,0.5124701857566833,0.5175840258598328,0.7678571343421936,0.5178571343421936,0.6547108888626099,0.6862053871154785,0.623216450214386,0.5357142686843872,0.3392857015132904,0.001
0.5191878080368042,0.5543549656867981,0.48402053117752075,0.7321428656578064,0.5892857313156128,0.6500887870788574,0.6876174211502075,0.6125601530075073,0.5535714030265808,0.1428571492433548,0.001
0.5304332375526428,0.5770289301872253,0.48383763432502747,0.6607142686843872,0.5535714030265808,0.6535725593566895,0.7056474089622498,0.6014977693557739,0.5535714030265808,0.4285714328289032,0.001
0.506144642829895,0.537392258644104,0.47489696741104126,0.7321428656578064,0.6071428656578064,0.688616156578064,0.7748900055885315,0.6023421287536621,0.5535714030265808,0.0892857164144516,0.001
0.4491865634918213,0.4565674364566803,0.44180575013160706,0.7857142686843872,0.625,0.7592871785163879,0.896445631980896,0.6221287846565247,0.5535714030265808,0.0892857164144516,0.001
0.455231249332428,0.4751710891723633,0.43529143929481506,0.7857142686843872,0.625,0.8127376437187195,0.989293098449707,0.6361823081970215,0.5535714030265808,0.0892857164144516,0.001
0.45425042510032654,0.45631664991378784,0.45218417048454285,0.8392857313156128,0.6071428656578064,0.8692671656608582,1.0770556926727295,0.6614789366722107,0.5535714030265808,0.0892857164144516,0.001
0.4322654902935028,0.4290049374103546,0.4355259835720062,0.7678571343421936,0.6071428656578064,0.8768754005432129,1.0686837434768677,0.6850671768188477,0.5535714030265808,0.0892857164144516,0.001
0.4762405455112457,0.5239224433898926,0.4285585582256317,0.75,0.5892857313156128,0.8355768918991089,0.9779676198959351,0.6931862235069275,0.5535714030265808,0.0892857164144516,0.001
