loss,task_1_output_loss,task_2_output_loss,task_1_output_accuracy,task_2_output_accuracy,val_loss,val_task_1_output_loss,val_task_2_output_loss,val_task_1_output_accuracy,val_task_2_output_accuracy,lr
0.27139294147491455,0.732136070728302,0.27139294147491455,0.5,0.0,0.49791276454925537,0.6937417387962341,0.49791276454925537,0.4933333396911621,0.0,0.001
0.18819686770439148,0.7280324697494507,0.18819686770439148,0.47999998927116394,0.0,0.35963404178619385,0.6932747960090637,0.35963404178619385,0.4933333396911621,0.0,0.001
0.19654592871665955,0.720895528793335,0.19654592871665955,0.36000001430511475,0.0,0.29519593715667725,0.7030001878738403,0.29519593715667725,0.41333332657814026,0.0,0.001
0.17607074975967407,0.7216458320617676,0.17607074975967407,0.4399999976158142,0.0,0.21875117719173431,0.7007120847702026,0.21875117719173431,0.5066666603088379,0.0,0.001
0.1533743143081665,0.738471269607544,0.1533743143081665,0.3799999952316284,0.0,0.2317243218421936,0.705683708190918,0.2317243218421936,0.5066666603088379,0.0,0.001
0.1646297425031662,0.7265841960906982,0.1646297425031662,0.5799999833106995,0.0,0.2078768014907837,0.7036243081092834,0.2078768014907837,0.5066666603088379,0.0,0.001
0.19040802121162415,0.6865570545196533,0.19040802121162415,0.5600000023841858,0.0,0.20708633959293365,0.7030497193336487,0.20708633959293365,0.5066666603088379,0.0,0.001
0.18172401189804077,0.6737864017486572,0.18172401189804077,0.6399999856948853,0.0,0.20810972154140472,0.7010478973388672,0.20810972154140472,0.5066666603088379,0.0,0.001
0.18051064014434814,0.6732021570205688,0.18051064014434814,0.5799999833106995,0.0,0.20225363969802856,0.6944286823272705,0.20225363969802856,0.5066666603088379,0.0,0.001
0.1614631861448288,0.6768144369125366,0.1614631861448288,0.6399999856948853,0.0,0.20978862047195435,0.6948400735855103,0.20978862047195435,0.4000000059604645,0.0,0.001
0.16340596973896027,0.6933206915855408,0.16340596973896027,0.6200000047683716,0.0,0.2058108150959015,0.6944095492362976,0.2058108150959015,0.4933333396911621,0.0,0.001
0.17199811339378357,0.672539234161377,0.17199811339378357,0.6000000238418579,0.0,0.20804299414157867,0.7000194787979126,0.20804299414157867,0.4933333396911621,0.0,0.001
0.1559600681066513,0.6665967702865601,0.1559600681066513,0.6600000262260437,0.0,0.206440731883049,0.7016305327415466,0.206440731883049,0.4933333396911621,0.0,0.001
0.15118981897830963,0.6740649938583374,0.15118981897830963,0.6200000047683716,0.0,0.20569200813770294,0.702034056186676,0.20569200813770294,0.4933333396911621,0.0,0.001
0.14985831081867218,0.6836277842521667,0.14985831081867218,0.6399999856948853,0.0,0.20570723712444305,0.7045053839683533,0.20570723712444305,0.4933333396911621,0.0,0.001
0.1506868451833725,0.662513792514801,0.1506868451833725,0.6800000071525574,0.0,0.2053903490304947,0.708746612071991,0.2053903490304947,0.4933333396911621,0.0,0.001
