,linear_output,tanh_output,conv1d_output,build_deep_nn,build_encoder
min_mse_0,45.62998962402344,0.9970894455909729,0.04333288595080376,0.0021295894403010607,0.00203015748411417
min_epo_0,5.0,0.0,49.0,6.0,48.0
min_mse_1,67.47628784179688,0.9997749328613281,0.04965273663401604,0.0021399243269115686,0.001872072578407824
min_epo_1,21.0,0.0,49.0,5.0,42.0
min_mse_2,46.68959045410156,1.0003180503845215,0.03224198520183563,0.0018813165370374918,0.002007211558520794
min_epo_2,29.0,0.0,49.0,33.0,48.0
