,linear_output,tanh_output,conv1d_output,build_deep_nn,build_encoder
min_mse_0,,,0.0033443719148635864,0.0007560353260487318,0.0012284781550988555
min_epo_0,,,294.0,76.0,190.0
mean_corr_test_0,,,0.32213396471438827,0.7274409393220708,0.5356871484361272
