,linear_output,tanh_output,conv1d_output,build_deep_nn,build_encoder
min_mse_0,1.1163151264190674,0.9512258768081665,0.016097139567136765,0.004647376481443644,0.005501200444996357
min_epo_0,42.0,0.0,48.0,48.0,48.0
min_mse_1,1.0368833541870117,0.9717162251472473,0.015234343707561493,0.005637686233967543,0.0053537869825959206
min_epo_1,43.0,0.0,45.0,46.0,31.0
min_mse_2,1.3571487665176392,0.9689358472824097,0.017932087182998657,0.005197110120207071,0.0046469299122691154
min_epo_2,9.0,1.0,47.0,48.0,31.0
