,dataset,model,pm1,mm1
0,GunPoint,ae,0.9899145328967688,0.00014380845143695232
1,GunPoint,nn,0.5988289715415765,0.0031827119217292922
2,GunPoint,conv,0.874431033252581,0.0015760204548840237
4,ECG200,ae,0.9981650197112188,3.648204189927809e-05
5,ECG200,nn,0.828369088554987,0.002484855547825269
6,ECG200,conv,0.9069500082375236,0.0019049101302955496
8,Beef,ae,0.7458049994955663,0.0009315070562855134
9,Beef,nn,0.6283862346418112,0.0009923185338695866
10,Beef,conv,0.46324309526479135,0.0016453946468626404
